16:11:11 INF [API] listening addr=127.0.0.1:34347
16:11:11 INF [Inbound] Mixed(http+socks) listening addr=127.0.0.1:7890
16:11:11 INF [TCP] connected, doesn't match any rule lAddr=127.0.0.1:46502 rAddr=api.github.com:443 proxy=DIRECT
16:11:11 INF [Config] initial compatible provider name=🐟 漏网之鱼
16:11:11 INF [Config] initial compatible provider name=☁️ Cloudflare
16:11:11 INF [Config] initial compatible provider name=🎮 Steam 客户端地区
16:11:11 INF [Config] initial compatible provider name=🇨🇳 国内网站
16:11:11 INF [Config] initial compatible provider name=📺 动画疯
16:11:11 INF [Config] initial compatible provider name=🌏 爱奇艺&哔哩哔哩
16:11:11 INF [Config] initial compatible provider name=🛑 拦截广告
16:11:11 INF [Config] initial compatible provider name=🔰 选择节点
16:11:13 INF [TCP] connected lAddr=127.0.0.1:46512 rAddr=clientservices.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:13 INF [TCP] connected lAddr=127.0.0.1:46538 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:13 INF [TCP] connected lAddr=127.0.0.1:46532 rAddr=www.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:13 INF [TCP] connected lAddr=127.0.0.1:46524 rAddr=accounts.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:13 INF [TCP] connected lAddr=127.0.0.1:46548 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:13 INF [TCP] connected lAddr=127.0.0.1:46562 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:13 INF [TCP] connected lAddr=127.0.0.1:46566 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:14 INF [TCP] connected lAddr=127.0.0.1:46584 rAddr=history.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:14 INF [TCP] connected lAddr=127.0.0.1:46572 rAddr=www.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:14 INF [TCP] connected lAddr=127.0.0.1:46600 rAddr=www.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:14 INF [TCP] connected lAddr=127.0.0.1:46590 rAddr=clients4.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:15 INF [TCP] connected lAddr=127.0.0.1:46608 rAddr=update.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:15 INF [TCP] connected lAddr=127.0.0.1:46624 rAddr=update.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:15 INF [TCP] connected lAddr=127.0.0.1:46618 rAddr=mtalk.google.com:5228 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:15 INF [TCP] connected lAddr=127.0.0.1:46628 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:15 INF [TCP] connected lAddr=127.0.0.1:46640 rAddr=www.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:15 INF [TCP] connected lAddr=127.0.0.1:46626 rAddr=encrypted-tbn0.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:15 INF [TCP] connected lAddr=127.0.0.1:46654 rAddr=clients4.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:15 INF [TCP] connected lAddr=127.0.0.1:46658 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:15 INF [TCP] connected lAddr=127.0.0.1:46704 rAddr=encrypted-tbn0.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:15 INF [TCP] connected lAddr=127.0.0.1:46684 rAddr=encrypted-tbn0.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:15 INF [TCP] connected lAddr=127.0.0.1:46674 rAddr=encrypted-tbn0.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:15 INF [TCP] connected lAddr=127.0.0.1:46670 rAddr=encrypted-tbn0.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:15 INF [TCP] connected lAddr=127.0.0.1:46696 rAddr=encrypted-tbn0.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:15 INF [TCP] connected lAddr=127.0.0.1:46716 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:15 INF [TCP] connected lAddr=127.0.0.1:46728 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:16 INF [TCP] connected lAddr=127.0.0.1:46732 rAddr=cloudsearch.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:16 INF [TCP] connected lAddr=127.0.0.1:46746 rAddr=cloudsearch.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:16 INF [TCP] connected lAddr=127.0.0.1:46780 rAddr=www.google.cn:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:16 INF [TCP] connected lAddr=127.0.0.1:46788 rAddr=www.google.cn:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:16 INF [TCP] connected lAddr=127.0.0.1:46804 rAddr=www.google.cn:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:16 INF [TCP] connected lAddr=127.0.0.1:46774 rAddr=www.google.cn:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:16 INF [TCP] connected lAddr=127.0.0.1:46758 rAddr=www.google.cn:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:16 INF [TCP] connected lAddr=127.0.0.1:46764 rAddr=www.google.cn:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:16 INF [TCP] connected lAddr=127.0.0.1:46760 rAddr=www.google.cn:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:18 INF [TCP] connected lAddr=127.0.0.1:46808 rAddr=mtalk.google.com:5228 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:19 INF [TCP] connected lAddr=127.0.0.1:46814 rAddr=ogs.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:20 INF [TCP] connected lAddr=127.0.0.1:46824 rAddr=www.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:20 INF [TCP] connected lAddr=127.0.0.1:46828 rAddr=ssl.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:24 INF [TCP] connected lAddr=127.0.0.1:51370 rAddr=optimizationguide-pa.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇺🇲 美国A01]
16:11:31 INF [TCP] connected lAddr=127.0.0.1:46710 rAddr=encrypted-tbn0.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇺🇲 美国A01]
