18:30:32 INF [API] listening addr=127.0.0.1:34103
18:30:32 INF [Inbound] Mixed(http+socks) listening addr=127.0.0.1:7890
18:30:32 INF [TCP] connected, doesn't match any rule lAddr=127.0.0.1:60008 rAddr=api.github.com:443 proxy=DIRECT
18:30:32 INF [Config] initial compatible provider name=🔰 选择节点
18:30:32 INF [Config] initial compatible provider name=🐟 漏网之鱼
18:30:32 INF [Config] initial compatible provider name=📺 动画疯
18:30:32 INF [Config] initial compatible provider name=☁️ Cloudflare
18:30:32 INF [Config] initial compatible provider name=🎮 Steam 客户端地区
18:30:32 INF [Config] initial compatible provider name=🌏 爱奇艺&哔哩哔哩
18:30:32 INF [Config] initial compatible provider name=🇨🇳 国内网站
18:30:32 INF [Config] initial compatible provider name=🛑 拦截广告
18:32:22 INF [TCP] connected lAddr=127.0.0.1:36222 rAddr=encrypted-tbn0.gstatic.com:443 mode=rule rule=DomainSuffix(gstatic.com) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:22 INF [TCP] connected lAddr=127.0.0.1:36234 rAddr=www.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:22 INF [TCP] connected lAddr=127.0.0.1:36246 rAddr=cloudsearch.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:26 INF [TCP] connected lAddr=127.0.0.1:47940 rAddr=www.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:27 INF [TCP] connected lAddr=127.0.0.1:47946 rAddr=safebrowsing.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:27 INF [TCP] connected lAddr=127.0.0.1:47948 rAddr=api-edge.cognitive.microsofttranslator.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:32:27 INF [TCP] connected lAddr=127.0.0.1:47954 rAddr=translate.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:28 INF [TCP] connected lAddr=127.0.0.1:47962 rAddr=monica.im:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:32:28 INF [TCP] connected lAddr=127.0.0.1:47990 rAddr=www.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:28 INF [TCP] connected lAddr=127.0.0.1:47978 rAddr=chat.openai.com:443 mode=rule rule=IPCIDR(104.16.0.0/13) proxy=☁️ Cloudflare[🇭🇰 香港A05 | IEPL]
18:32:28 INF [TCP] connected lAddr=127.0.0.1:47994 rAddr=plugins.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:32:29 INF [TCP] connected lAddr=127.0.0.1:48002 rAddr=plugins.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:32:29 INF [TCP] connected lAddr=127.0.0.1:48006 rAddr=adservice.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:30 INF [TCP] connected lAddr=127.0.0.1:48018 rAddr=www.googletagmanager.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:30 INF [TCP] connected lAddr=127.0.0.1:48046 rAddr=translate.googleapis.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:30 INF [TCP] connected lAddr=127.0.0.1:48026 rAddr=data.services.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:32:30 INF [TCP] connected lAddr=127.0.0.1:48038 rAddr=hub.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:32:30 INF [TCP] connected lAddr=127.0.0.1:48054 rAddr=resources.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:32:30 INF [TCP] connected lAddr=127.0.0.1:48056 rAddr=resources.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:32:30 INF [TCP] connected lAddr=127.0.0.1:48070 rAddr=www.google-analytics.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:30 INF [TCP] connected lAddr=127.0.0.1:48084 rAddr=www.google-analytics.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:31 INF [TCP] connected lAddr=127.0.0.1:48116 rAddr=resources.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:32:31 INF [TCP] connected lAddr=127.0.0.1:48122 rAddr=hub.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:32:31 INF [TCP] connected lAddr=127.0.0.1:48134 rAddr=www.google.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:31 INF [TCP] connected lAddr=127.0.0.1:48094 rAddr=js-agent.newrelic.com:443 mode=rule rule=DomainSuffix(js-agent.newrelic.com) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:31 INF [TCP] connected lAddr=127.0.0.1:48100 rAddr=js-agent.newrelic.com:443 mode=rule rule=DomainSuffix(js-agent.newrelic.com) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:31 INF [TCP] connected lAddr=127.0.0.1:48136 rAddr=hub.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:32:31 INF [TCP] connected lAddr=127.0.0.1:48144 rAddr=bam.nr-data.net:443 mode=rule rule=DomainSuffix(bam.nr-data.net) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:31 INF [TCP] connected lAddr=127.0.0.1:48146 rAddr=www.googleadservices.com:443 mode=rule rule=DomainKeyword(google) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:32 INF [TCP] connected lAddr=127.0.0.1:48150 rAddr=ogs.google.com.hk:443 mode=rule rule=DomainSuffix(hk) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
18:32:33 INF [TCP] connected lAddr=127.0.0.1:48178 rAddr=plugins.jetbrains.com:443 mode=rule rule=DomainKeyword(.) proxy=🐟 漏网之鱼[🇭🇰 香港A05 | IEPL]
18:32:33 INF [TCP] connected lAddr=127.0.0.1:48172 rAddr=raw.githubusercontent.com:443 mode=rule rule=DomainKeyword(github) proxy=🔰 选择节点[🇭🇰 香港A05 | IEPL]
